Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-05-08 01-PM,BTCUSD,9126.21,9165.19,9100.05,9113.06,492.84,4498219.43
2018-05-08 12-PM,BTCUSD,9169.9,9170.02,9015,9126.21,1374.32,12485255.93
2018-05-08 11-AM,BTCUSD,9289.96,9296.47,9155.15,9169.9,797.77,7343155.9
2018-05-08 10-AM,BTCUSD,9294.87,9320,9262.36,9289.96,503.98,4686029.82
2018-05-08 09-AM,BTCUSD,9378,9378,9239.01,9294.87,1250.44,11619182.65
2018-05-08 08-AM,BTCUSD,9354.84,9380,9345.2,9378,474.09,4440633.12
2018-05-08 07-AM,BTCUSD,9322.8,9368.65,9319.86,9354.84,392.75,3670817.79
2018-05-08 06-AM,BTCUSD,9328.57,9366.1,9303.53,9322.8,430.73,4021148.25
2018-05-08 05-AM,BTCUSD,9402.94,9405.3,9311.71,9328.57,700.5,6553033.12
2018-05-08 04-AM,BTCUSD,9423.44,9435.34,9387.9,9402.94,110.95,1043991.36
2018-05-08 03-AM,BTCUSD,9421.96,9448.29,9374.4,9423.44,239.77,2257644.91
2018-05-08 02-AM,BTCUSD,9414.23,9450,9399.78,9421.96,262.98,2481888.45
2018-05-08 01-AM,BTCUSD,9376.49,9434.39,9370.5,9414.23,161.38,1518121.85
2018-05-08 12-AM,BTCUSD,9359.52,9395,9351.71,9376.49,161.76,1516474.7
2018-05-07 11-PM,BTCUSD,9302.39,9380,9281.74,9359.52,181.16,1692316.63
2018-05-07 10-PM,BTCUSD,9395,9404.52,9262,9302.39,1602.91,14961552.48
2018-05-07 09-PM,BTCUSD,9438.99,9442.8,9380.17,9395,199.39,1879644.08
2018-05-07 08-PM,BTCUSD,9421.73,9442.8,9378.69,9438.99,187.65,1766124.89
2018-05-07 07-PM,BTCUSD,9360.12,9440,9350.21,9421.73,545.52,5133961.28
2018-05-07 06-PM,BTCUSD,9346.61,9380.54,9346.6,9360.12,165.53,1549658.49
2018-05-07 05-PM,BTCUSD,9345.19,9391.81,9338.06,9346.61,200.97,1883786.9
2018-05-07 04-PM,BTCUSD,9349,9396.91,9330.49,9345.19,446.75,4184645.25
2018-05-07 03-PM,BTCUSD,9294.61,9349,9294.22,9349,313.21,2922470.78
2018-05-07 02-PM,BTCUSD,9275,9332.25,9175,9294.61,865.18,8000655.36
2018-05-07 01-PM,BTCUSD,9340.95,9343.98,9266.48,9275,566.8,5275360.63
2018-05-07 12-PM,BTCUSD,9331.09,9364.04,9300.1,9340.95,487.74,4550342.17
2018-05-07 11-AM,BTCUSD,9292,9334.96,9258.06,9331.09,1128.33,10498035.33
2018-05-07 10-AM,BTCUSD,9277.87,9329.08,9270.22,9292,239.72,2228807.98
2018-05-07 09-AM,BTCUSD,9378.9,9378.9,9252.29,9277.87,614.06,5710775.99
2018-05-07 08-AM,BTCUSD,9317.05,9395.01,9267.92,9378.9,383.26,3578710.52
2018-05-07 07-AM,BTCUSD,9344.02,9348.96,9257.18,9317.05,370.95,3448723.61
2018-05-07 06-AM,BTCUSD,9356.96,9379.79,9331.15,9344.02,336.51,3148516.0
2018-05-07 05-AM,BTCUSD,9324.84,9392.07,9275,9356.96,1224.35,11439946.64
2018-05-07 04-AM,BTCUSD,9317.16,9360,9311.03,9324.84,233.55,2180399.27
2018-05-07 03-AM,BTCUSD,9288.83,9326.79,9207,9317.16,698.56,6461030.55
2018-05-07 02-AM,BTCUSD,9326.81,9334.44,9241.06,9288.83,732.78,6802313.36
2018-05-07 01-AM,BTCUSD,9446.55,9446.92,9263,9326.81,1584.65,14784066.88
2018-05-07 12-AM,BTCUSD,9623.54,9634.5,9434.54,9446.55,306.83,2928794.76
2018-05-06 11-PM,BTCUSD,9580.82,9627.27,9545.04,9623.54,168.09,1612098.32
2018-05-06 10-PM,BTCUSD,9516.99,9618.39,9511.16,9580.82,215.57,2067651.71
2018-05-06 09-PM,BTCUSD,9513.98,9535.85,9482,9516.99,143.54,1363691.37
2018-05-06 08-PM,BTCUSD,9488.37,9541.93,9480.4,9513.98,323.55,3079074.49
2018-05-06 07-PM,BTCUSD,9525.49,9532.99,9467.57,9488.37,323.66,3076022.57
2018-05-06 06-PM,BTCUSD,9551.59,9560.38,9501,9525.49,243.78,2323173.31
2018-05-06 05-PM,BTCUSD,9538.09,9578.62,9531,9551.59,149.18,1425181.67
2018-05-06 04-PM,BTCUSD,9463.2,9562.6,9460.63,9538.09,154.44,1471574.19
2018-05-06 03-PM,BTCUSD,9506.15,9514,9446.63,9463.2,202.01,1915051.65
2018-05-06 02-PM,BTCUSD,9545.69,9559.99,9499.23,9506.15,336.05,3201096.56
2018-05-06 01-PM,BTCUSD,9495.27,9600,9482.52,9545.69,323.88,3092044.5
2018-05-06 12-PM,BTCUSD,9454.98,9507.32,9375,9495.27,369.06,3480958.24
2018-05-06 11-AM,BTCUSD,9522.99,9550,9375,9454.98,889.74,8408475.66
2018-05-06 10-AM,BTCUSD,9519.98,9586.22,9515,9522.99,366.08,3498099.57
2018-05-06 09-AM,BTCUSD,9520.25,9546.5,9467.57,9519.98,540.97,5141243.64
2018-05-06 08-AM,BTCUSD,9665.83,9670,9480,9520.25,901.27,8601964.16
2018-05-06 07-AM,BTCUSD,9646.79,9665.84,9604.25,9665.83,307.55,2965340.29
2018-05-06 06-AM,BTCUSD,9709.66,9712.24,9550,9646.79,854.23,8233197.54
2018-05-06 05-AM,BTCUSD,9813,9815.93,9706.94,9709.66,455.1,4438461.66
2018-05-06 04-AM,BTCUSD,9834.11,9872.28,9805,9813,96.62,951052.3
2018-05-06 03-AM,BTCUSD,9830.99,9870.58,9815.42,9834.11,150.78,1483773.42
2018-05-06 02-AM,BTCUSD,9894.99,9898.24,9804.37,9830.99,167.51,1649682.81
2018-05-06 01-AM,BTCUSD,9891.49,9918.41,9849.71,9894.99,197.19,1948552.18
2018-05-06 12-AM,BTCUSD,9823.28,9902.78,9795.09,9891.49,275.73,2722547.04
2018-05-05 11-PM,BTCUSD,9803.62,9848,9769.19,9823.28,201.49,1976869.78
2018-05-05 10-PM,BTCUSD,9757,9828.88,9728.71,9803.62,108.38,1061283.62
2018-05-05 09-PM,BTCUSD,9731.85,9769,9688.88,9757,377.75,3672545.18
2018-05-05 08-PM,BTCUSD,9838.07,9846.71,9706.94,9731.85,632.61,6178951.5
2018-05-05 07-PM,BTCUSD,9840.46,9861.11,9826.11,9838.07,242.09,2382642.92
2018-05-05 06-PM,BTCUSD,9845.33,9854.49,9741.33,9840.46,573.35,5625979.33
2018-05-05 05-PM,BTCUSD,9873.25,9901.99,9842.01,9845.33,229.6,2267654.32
2018-05-05 04-PM,BTCUSD,9874.48,9900,9833.48,9873.25,312.6,3084628.16
2018-05-05 03-PM,BTCUSD,9918.99,9938.66,9871.18,9874.48,240.97,2386980.56
2018-05-05 02-PM,BTCUSD,9860.29,9939.7,9860.29,9918.99,365.41,3622423.04
2018-05-05 01-PM,BTCUSD,9905.8,9948.98,9855.97,9860.29,268.7,2665205.9
2018-05-05 12-PM,BTCUSD,9863.08,9940,9858,9905.8,272.7,2699863.78
2018-05-05 11-AM,BTCUSD,9908.29,9923.95,9829.09,9863.08,315.65,3115018.31
2018-05-05 10-AM,BTCUSD,9819.43,9943.12,9819.42,9908.29,580.06,5742422.05
2018-05-05 09-AM,BTCUSD,9809.79,9850.45,9799.2,9819.43,201.63,1981368.46
2018-05-05 08-AM,BTCUSD,9778.42,9847,9775.3,9809.79,179.84,1763584.24
2018-05-05 07-AM,BTCUSD,9758.6,9797,9755.53,9778.42,151.38,1480535.04
2018-05-05 06-AM,BTCUSD,9803.5,9814,9755.53,9758.6,269.79,2638013.76
2018-05-05 05-AM,BTCUSD,9826.44,9835.44,9782.5,9803.5,134.73,1321418.23
